ds,y,yhat,residual,Z_Residual
2025-07-06,774.64,-90.62870105697357,865.2687010569736,0.5182090752954239
2025-07-07,624.32,-525.1350465271403,1149.4550465271404,0.6883134622794844
2025-07-08,1595.01,1805.5595365613053,-210.54953656130533,-0.1257395335427891
2025-07-09,1839.3999999999999,2344.6946013809315,-505.2946013809317,-0.3021640147569403
2025-07-10,1530.4499999999998,2520.6846702558064,-990.2346702558066,-0.592432827649741
2025-07-11,1801.03,2463.6561245218727,-662.6261245218727,-0.3963373722167476
2025-07-12,1991.5500000000002,2334.5459883178155,-342.9959883178153,-0.2050175243518873
2025-07-13,1033.46,296.78559319783244,736.6744068021676,0.441236856388594
2025-07-14,1103.13,-90.20550210610008,1193.3355021061002,0.7145788269453734
2025-07-15,3179.05,2284.753071262603,894.2969287373971,0.5355843959380919
2025-07-16,2883.63,2864.7717207829073,18.858279217092786,0.011576268199111502
2025-07-17,2859.0,3078.2107821912846,-219.21078219128458,-0.13092386383131333
2025-07-18,2696.65,3055.215660323644,-358.5656603236439,-0.21433700628446448
2025-07-19,2636.4,2956.811643417901,-320.4116434179009,-0.191499295183344
2025-07-20,1231.45,946.5814698887002,284.86853011129983,0.1708010563745357
2025-07-21,1173.1200000000001,584.1511792044785,588.9688207955217,0.3528252611016574
2025-07-22,3369.8499999999995,2980.9528803165203,388.8971196834791,0.233069070795551
2025-07-23,4250.74,3580.382701005699,670.3572989943009,0.40154166641896455
2025-07-24,3420.5699999999997,3811.108266650099,-390.5382666500991,-0.23347473294211382
2025-07-25,4407.78,3803.590672573602,604.1893274263975,0.3619357443859564
2025-07-26,3400.24,3719.165776989498,-318.92577698949844,-0.19060990552063717
2025-07-27,927.2800000000001,1721.708315672951,-794.4283156729508,-0.4752297302989684
2025-07-28,645.72,1371.104800713064,-725.3848007130639,-0.433902604718583
2025-07-29,3255.08,3779.0042563008265,-523.9242563008265,-0.3133150995306666
2025-07-30,3983.8599999999997,4388.965456907601,-405.10545690760136,-0.242194163021462
2025-07-31,4994.96,4629.755383728997,365.20461627100303,0.2188875352174453
